,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
/vehicle/extracted_can/seat_belt_state/data,0.996,0.992,0.944,0.992,0.9925,0.996,0.9474,0.984,0.9583,0.996,0.9879,1.0,0.9886,0.9947,0.9866,-190.79909999999998
/vehicle/extracted_can/speed/data,0.9558,0.9,0.804,0.876,0.9323,0.936,0.9298,0.9,0.9375,0.8193,0.9879,0.9657,0.9773,0.9787,0.9132,-190.8725
/vehicle/extracted_can/steering_angle/data,0.739,0.776,0.704,0.256,0.4812,0.524,0.7895,0.664,0.9375,0.8434,0.6855,0.92,0.9091,0.8617,0.6898,-191.0959
/vehicle/gnss/altitude,0.9317,0.948,0.956,0.92,0.985,0.992,1.0,0.98,0.9792,0.988,0.9919,0.9543,0.9659,0.984,0.9665,-190.8192
/vehicle/gnss/latitude,0.9317,0.948,0.956,0.92,0.985,0.992,1.0,0.98,0.9792,0.988,0.9919,0.9543,0.9659,0.984,0.9665,-190.8192
/vehicle/gnss/longitude,0.9317,0.948,0.956,0.92,0.985,0.992,1.0,0.98,0.9792,0.988,0.9919,0.9543,0.9659,0.984,0.9665,-190.8192
/vehicle/gnss/position_covariance_type,0.9317,0.948,0.956,0.92,0.985,0.992,1.0,0.98,0.9792,0.988,0.9919,0.9543,0.9659,0.984,0.9665,-190.8192
/driver/heart_rate/data,0.5743,0.608,0.652,0.688,0.6692,0.576,0.7368,0.676,0.7708,0.5783,0.7097,0.64,0.5682,0.8564,0.6533,-191.1324
/mobileye/05/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/1044/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/1045/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/1046/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/1047/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/1048/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/1049/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/1050/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
