,/driver/blink/data,/driver/face_pitch/data,/driver/face_roll/data,/driver/face_yaw/data,/mobileye/01/data,/mobileye/02/data,/mobileye/03/data,/mobileye/04/data,/mobileye/06/data,/mobileye/07/data,/mobileye/08/data,/mobileye/09/data,/mobileye/10/data,/mobileye/11/data,/mobileye/12/data,/mobileye/13/data,/mobileye/14/data,/mobileye/15/data,/mobileye/16/data,/mobileye/17/data,/mobileye/18/data,/mobileye/19/data,/mobileye/20/data,/mobileye/21/data,/mobileye/22/data,/mobileye/23/data,/mobileye/24/data,/mobileye/25/data,/mobileye/26/data,/mobileye/27/data,/mobileye/28/data,/mobileye/29/data,/mobileye/30/data,/mobileye/31/data,/mobileye/32/data,/mobileye/33/data,/mobileye/34/data,/mobileye/35/data,/vehicle/acceleration/accel/linear/y,/vehicle/acceleration/accel/linear/x,/vehicle/acceleration/accel/linear/z,/vehicle/acceleration/accel/angular/y,/vehicle/acceleration/accel/angular/x,/vehicle/acceleration/accel/angular/z,/vehicle/analog/back_signal/data,/vehicle/analog/brake_signal/data,/vehicle/analog/speed_pulse/data,/vehicle/analog/turn_signal/data,/vehicle/extracted_can/brake_pedal_hydraulic/data,/vehicle/extracted_can/gas_pedal_position/data,/vehicle/extracted_can/headlight_state/data,/vehicle/extracted_can/seat_belt_state/data,/vehicle/extracted_can/speed/data,/vehicle/extracted_can/steering_angle/data,/vehicle/gnss/altitude,/vehicle/gnss/latitude,/vehicle/gnss/longitude,/vehicle/gnss/position_covariance,/vehicle/gnss/position_covariance_type,/vehicle/gnss/status
2017-01-22 08:39:58.980000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2280000001192093,0.0,,,,-130.5,,,,,,
2017-01-22 08:39:59.000000000,,,,,2.0,2.0,-1.899999976158142,0.9599999785423279,0.0056591033935546875,0.0,-0.12484607845544815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-0.109,0.031,1.031,0.0,0.0,0.0,False,True,7.0,2.0,0.2160000056028366,0.0,,,,-130.5,0.0,34.97381,137.15401833333334,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"{'status': 0, 'service': 0}"
2017-01-22 08:39:59.019999980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2160000056028366,0.0,,,,-130.5,,,,,,
2017-01-22 08:39:59.039999961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-132.0,,,,,,
2017-01-22 08:39:59.049999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,7.0,2.0,,,,,,,,,,,,
2017-01-22 08:39:59.059999942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19200000166893005,0.0,,,,-132.0,,,,,,
2017-01-22 08:39:59.079999923,,,,,2.0,2.0,-1.9199999570846558,0.9599999785423279,0.0053882598876953125,0.0,-0.12484607845544815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19200000166893005,0.0,,,,-133.5,,,,,,
2017-01-22 08:39:59.099999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.094,-0.02,0.984,0.0,0.0,0.0,False,True,7.0,2.0,0.1679999977350235,0.0,,,,-135.0,,,,,,
2017-01-22 08:39:59.119999885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15600000321865082,0.0,2.0,,,-135.0,,,,,,
2017-01-22 08:39:59.140000104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-138.0,,,,,,
2017-01-22 08:39:59.150000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,7.0,2.0,,,,,,,,,,,,
2017-01-22 08:39:59.160000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14399999380111694,,,,,-139.5,,,,,,
2017-01-22 08:39:59.180000066,,,,,2.0,2.0,-1.9199999570846558,0.9599999785423279,0.0051250457763671875,0.0,-0.12484607845544815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13199999928474426,0.0,,,,-141.0,,,,,,
2017-01-22 08:39:59.200000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.102,-0.012,1.047,0.0,0.0,0.0,False,True,5.0,2.0,0.11999999731779099,0.0,,,,-142.5,,,,,,
2017-01-22 08:39:59.220000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11999999731779099,0.0,,,,-144.0,,,,,,
2017-01-22 08:39:59.240000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11999999731779099,0.0,,False,,-145.5,,,,,,
2017-01-22 08:39:59.250000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,5.0,2.0,,,,,,,,,,,,
2017-01-22 08:39:59.259999990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-148.5,,,,,,
2017-01-22 08:39:59.279999971,,,,,2.0,2.0,-1.940000057220459,0.9599999785423279,0.004978179931640625,0.0,-0.12484607845544815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11999999731779099,0.0,,,,-148.5,,,,,,
2017-01-22 08:39:59.299999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.078,-0.027,1.012,0.0,0.0,0.0,False,True,5.0,0.0,0.11999999731779099,,,,3.0,-151.5,,,,,,
2017-01-22 08:39:59.319999933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1080000028014183,0.0,,,,-154.5,,,,,,
2017-01-22 08:39:59.339999914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09600000083446503,0.0,,,,-154.5,,,,,,
2017-01-22 08:39:59.349999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,4.0,0.0,,,,,,,,,,,,
2017-01-22 08:39:59.359999895,,,,,2.0,2.0,-1.940000057220459,0.9399999976158142,0.0048732757568359375,0.0,-0.12484607845544815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-157.5,,,,,,
2017-01-22 08:39:59.380000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09600000083446503,0.0,,,,-157.5,,,,,,
2017-01-22 08:39:59.400000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.109,-0.02,1.016,0.0,0.0,0.0,False,True,5.0,0.0,0.08399999886751175,0.0,,,,-160.5,,,,,,
2017-01-22 08:39:59.420000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07199999690055847,0.0,,,,-162.0,,,,,,
